date,open,high,low,close,pre_close,volume
2012-12-06,2205.605,2216.976,2191.227,2203.602,2207.878,4857468900.0
2012-12-07,2203.887,2250.529,2198.107,2246.757,2203.602,7616974800.0
2012-12-10,2254.915,2276.28,2250.437,2271.046,2246.757,7337547500.0
2012-12-11,2263.209,2274.994,2254.299,2258.5,2271.046,5146870300.0
2012-12-12,2257.73,2273.211,2247.953,2267.767,2258.5,4500645400.0
2012-12-13,2260.601,2266.721,2242.557,2242.635,2267.767,4194210000.0
2012-12-14,2245.636,2357.106,2245.636,2355.865,2242.635,11089256200.0
2012-12-17,2359.201,2380.001,2358.664,2366.7,2355.865,9408819500.0
2012-12-18,2361.095,2398.63,2347.077,2368.12,2366.7,8578484900.0
2012-12-19,2362.802,2387.142,2358.033,2371.109,2368.12,6329253000.0
2012-12-20,2361.322,2391.924,2346.55,2384.816,2371.109,6565546200.0
2012-12-21,2386.376,2414.223,2365.032,2372.002,2384.816,6871415800.0
2012-12-24,2368.007,2396.725,2367.038,2381.217,2372.002,5308700400.0
2012-12-25,2373.88,2459.302,2365.41,2448.395,2381.217,9550235000.0
2012-12-26,2445.987,2458.007,2441.642,2457.619,2448.395,7159182800.0
2012-12-27,2464.779,2479.792,2443.681,2444.594,2457.619,7325506700.0
2012-12-28,2448.076,2481.592,2444.381,2480.049,2444.594,6716632100.0
2012-12-31,2485.559,2522.952,2485.559,2522.952,2480.049,8200229300.0
2013-01-04,2551.814,2558.529,2498.892,2524.409,2522.952,9798818200.0
2013-01-07,2518.047,2545.969,2511.603,2535.985,2524.409,7516799300.0
2013-01-08,2534.647,2540.513,2502.49,2525.33,2535.985,7183710000.0
2013-01-09,2518.104,2534.239,2504.299,2526.126,2525.33,7023117000.0
2013-01-10,2525.59,2553.352,2513.729,2530.569,2526.126,7108586200.0
2013-01-11,2533.495,2539.794,2473.696,2483.23,2530.569,7423917600.0
2013-01-14,2474.176,2583.625,2473.998,2577.725,2483.23,9355409100.0
2013-01-15,2579.132,2605.41,2576.919,2595.856,2577.725,9862080500.0
2013-01-16,2591.365,2600.093,2540.521,2577.092,2595.856,9353608400.0
2013-01-17,2570.711,2575.058,2539.674,2552.758,2577.092,6991523900.0
2013-01-18,2568.692,2607.446,2553.451,2595.439,2552.758,7794030300.0
2013-01-21,2605.649,2611.201,2582.652,2610.898,2595.439,8413374200.0
2013-01-22,2610.392,2620.025,2578.181,2596.898,2610.898,10576627500.0
2013-01-23,2588.198,2611.409,2576.362,2607.456,2596.898,7573944400.0
2013-01-24,2606.427,2663.404,2564.206,2582.755,2607.456,11127717200.0
2013-01-25,2580.881,2591.513,2567.107,2571.674,2582.755,5848735900.0
2013-01-28,2577.267,2651.967,2577.267,2651.863,2571.674,9127479000.0
2013-01-29,2655.377,2685.531,2646.154,2675.866,2651.863,10104022900.0
2013-01-30,2678.433,2689.683,2662.062,2688.711,2675.866,9987499000.0
2013-01-31,2690.951,2696.881,2671.33,2686.882,2688.711,9674010100.0
2013-02-01,2677.187,2744.322,2671.274,2743.324,2686.882,10387951500.0
2013-02-04,2753.688,2768.504,2731.08,2748.028,2743.324,12793917900.0
2013-02-05,2727.93,2779.953,2725.362,2771.675,2748.028,11613081900.0
2013-02-06,2771.908,2787.456,2765.743,2775.844,2771.675,8277927100.0
2013-02-07,2771.53,2775.974,2722.874,2759.87,2775.844,8997814200.0
2013-02-08,2755.649,2791.303,2747.946,2771.725,2759.87,7742964400.0
